case_id,label,n_users,n_interactions,n_comments,n_reposts,duration_h,d95_h,peak_24h,first_24h_share,comment_share,max_user_share,max_gap_h,n_active_windows,truncated,passes_filter,quality_score
8bf59a0e69a05c7bf74ba3245ef3f239,real,181,299,179,120,103.1,22.6,286,0.957,0.599,0.378,24.4,5,no,yes,0.764
3dd964d1bd586a746539b79f6c7ee9ec,real,496,939,789,150,415.0,24.8,855,0.911,0.840,0.146,270.9,7,no,yes,0.760
d71b08a975583f01aa183b915283aa99,real,484,737,481,256,148.2,16.9,722,0.980,0.653,0.327,46.9,5,no,yes,0.760
e4d1af13c7ce578e33e347b73c108322,real,133,238,130,108,97.5,48.3,222,0.933,0.546,0.420,44.4,5,no,yes,0.760
3d086214d3987911458d4ef444075f0c,real,397,597,395,202,170.4,17.1,587,0.983,0.662,0.322,47.0,6,no,yes,0.757
9a74296ad4c231241c1ac6057c08bbcb,real,252,386,249,137,116.9,17.6,377,0.977,0.645,0.347,34.0,5,no,yes,0.757
00ee1f47431c16fcb3729c5376a8ad9a,real,586,868,587,281,135.8,13.0,855,0.985,0.676,0.320,49.6,5,no,yes,0.755
a289e23e884db4c1ad0cded23003d429,real,269,397,276,121,209.4,12.5,385,0.970,0.695,0.302,65.1,6,no,yes,0.755
1fe34c09ceb0d16fa33afd059ec4b7cd,real,570,841,571,270,228.7,14.2,832,0.989,0.679,0.304,142.3,5,no,yes,0.753
48800d19e90a0d2b7826d8d2452a3ca8,real,532,701,533,168,155.5,8.1,691,0.986,0.760,0.220,95.8,4,no,yes,0.752
a346f61cc0427757bc15ffcf26d99c38,real,533,738,532,206,124.8,6.5,727,0.985,0.721,0.259,67.3,4,no,yes,0.752
1925e042bf817cd385afec2a95d16e21,real,435,615,440,175,202.7,10.5,605,0.984,0.715,0.278,121.5,5,no,yes,0.752
3e347ad87be832a47dcf67df4521e17e,fake,802,871,486,385,1045.7,52.1,712,0.817,0.558,0.005,353.7,16,no,yes,0.750
887718176eea672450e128a00f16c01f,real,989,1480,1080,400,122.2,6.0,1468,0.992,0.730,0.259,38.8,5,no,yes,0.749
025586c09c8bdcc653d23113a7b4b646,real,510,760,523,237,190.9,12.0,747,0.983,0.688,0.311,105.5,5,no,yes,0.742
445d673a0bcb9d2b2854d050df131b35,real,362,618,447,171,287.8,11.7,606,0.981,0.723,0.265,169.6,5,no,yes,0.741
162b9c91d6e5c7e440b74d790c787b8a,real,493,756,491,265,122.3,14.4,740,0.979,0.649,0.340,38.3,5,no,yes,0.738
e509502b7c0ff0551eeebe0b26182982,fake,929,1033,200,833,351.1,13.2,1008,0.976,0.194,0.006,150.6,9,no,yes,0.738
83d3e9a789a136e49223f6bbf8786b51,real,560,894,559,335,114.3,17.2,877,0.981,0.625,0.357,27.0,5,no,yes,0.737
33d79563e6543de9c492f3a7e68b8c43,real,565,845,572,273,171.9,11.6,827,0.980,0.677,0.316,88.4,5,no,yes,0.736
a7159aae0dc214b6182a7c22e6864920,real,242,361,232,129,234.8,14.4,354,0.981,0.643,0.313,153.6,5,no,yes,0.736
8a7641a7ee16e65585ebfc0b0d1d7459,real,341,519,339,180,162.9,15.3,512,0.987,0.653,0.329,90.7,5,no,yes,0.735
02213017fdba62a4bfb7b7ccbad597a7,real,373,579,364,215,99.2,14.0,561,0.969,0.629,0.354,20.0,5,no,yes,0.733
279ee529b4181a6114116e24fa66ac70,real,298,424,292,132,275.2,8.2,421,0.993,0.689,0.269,112.0,4,no,yes,0.730
ef63fb747a925725efa02c94401cdaba,real,427,615,422,193,742.0,20.8,594,0.966,0.686,0.299,375.0,10,no,yes,0.728
7c2139967ecfdbddd3a5802e33b43802,real,361,560,352,208,101.4,11.0,544,0.971,0.629,0.341,19.4,5,no,yes,0.726
e081f47f69673f152e554e8b2b2fa0ca,fake,237,252,47,205,358.1,26.0,237,0.940,0.187,0.012,289.6,4,no,yes,0.725
8fab655e6d7a855dccd90c76f7b65226,real,821,1210,822,388,117.9,5.7,1195,0.988,0.679,0.312,18.4,5,no,yes,0.723
d98f66af47a13ad483b52f466243456c,real,721,1032,741,291,336.2,7.6,1021,0.989,0.718,0.265,258.1,5,no,yes,0.723
53f390de6c16d162efba580be589b233,real,772,1163,846,317,401.0,8.8,1147,0.986,0.727,0.266,194.3,7,no,yes,0.722
6f2b7e632c64ba5835164abe2f1ab28e,real,444,736,455,281,210.2,32.6,675,0.917,0.618,0.367,59.1,7,no,yes,0.721
9d8fdb6108340e2c0cc1269ee41b4333,real,983,1315,1044,271,291.8,6.2,1306,0.993,0.794,0.195,191.9,5,no,yes,0.721
cf5522f51f8be6859840b0b948bb813c,real,704,1089,724,365,140.5,12.3,1074,0.987,0.665,0.333,47.5,5,no,yes,0.721
c21c8b62cb7114c2444182b98764a1c6,real,135,227,132,95,174.4,23.3,216,0.952,0.581,0.357,76.2,4,no,yes,0.720
ebae943aa6b9628ef8ba084908e27ca0,real,477,605,471,134,227.2,4.5,600,0.992,0.779,0.198,186.7,3,no,yes,0.720
85ae942a6e79784ff8ce2d4ca9627403,real,206,339,203,136,207.6,41.1,316,0.932,0.599,0.389,102.7,6,no,yes,0.719
bcd7603584f6ca2c6154b53b872457b2,real,999,2360,1993,367,335.5,5.4,2341,0.992,0.844,0.150,163.8,8,no,yes,0.716
d3ce1100b5152c415fa0d388a973ffc7,real,954,1422,964,458,6789.7,916.1,1097,0.771,0.678,0.308,1630.1,65,no,yes,0.714
497017bcf89dc17f7079c56d5cec8efd,real,433,628,450,178,354.4,19.8,617,0.982,0.717,0.261,290.2,4,no,yes,0.712
452203a0d026997c8bd1a670cbad3c16,real,466,815,461,354,190.2,48.6,722,0.886,0.566,0.423,140.0,4,no,yes,0.709
2d4e31029ce28eba1ec0e0a24e48fe2b,real,213,356,213,143,193.5,34.5,335,0.941,0.598,0.385,118.5,5,no,yes,0.709
4d7c5b29cb6da596171a7d05beec3ef2,fake,117,122,64,58,547.1,33.6,112,0.918,0.525,0.016,410.9,6,no,yes,0.706
74d18958dcde407a635ee26d624022e8,real,444,657,443,214,600.9,19.3,633,0.963,0.674,0.314,303.4,9,no,yes,0.705
cebff585683cb7d2d6e309add20e8ff0,real,659,981,681,300,429.9,14.7,956,0.975,0.694,0.299,341.6,5,no,yes,0.703
f89cd934fe3d6cdf99926d7c1b17afd9,real,491,749,488,261,136.3,7.3,741,0.989,0.652,0.327,55.9,4,no,yes,0.699
91771c75e4db913acdbee9f61cf7dc81,real,820,1259,831,428,184.5,11.1,1236,0.982,0.660,0.333,61.7,7,no,yes,0.694
717c4dc5446fa16cbe2b2f37f8904286,real,379,852,493,359,120.0,24.4,795,0.933,0.579,0.407,40.6,6,no,yes,0.689
aaa2ee4bd60061668913caea2f3b70be,real,276,456,273,183,120.7,19.8,435,0.954,0.599,0.388,20.8,6,no,yes,0.688
e2151d2ebe69fa307b13965108ba9885,real,174,288,171,117,171.9,24.6,273,0.948,0.594,0.378,68.5,6,no,yes,0.686
d73d795305e34c0d6578af4bdf81fa0e,real,862,1485,973,512,180.7,9.2,1453,0.978,0.655,0.335,45.5,7,no,yes,0.680
1936450b4b9b24000d4e52a948617f27,real,234,379,231,148,232.0,31.2,349,0.921,0.609,0.377,110.0,6,no,yes,0.680
cddeef8482fb143d0b997f2766107704,real,521,795,519,276,326.9,11.8,779,0.981,0.653,0.328,135.4,5,no,yes,0.679
8a8781b598ba835f3d0c22f98d212369,real,305,475,296,179,174.8,11.3,469,0.987,0.623,0.343,97.7,4,no,yes,0.678
b0c1a0755ef2211e85d27e7bb0e6922d,real,187,315,180,135,139.4,25.7,299,0.949,0.571,0.403,72.0,4,no,yes,0.678
acd6926e4d25c944990f7c071893b5e9,real,939,2371,1609,762,635.7,11.1,2332,0.984,0.679,0.320,179.5,14,no,yes,0.677
7562e47b038a098d8037ff99c283bee8,real,343,563,335,228,104.3,14.5,550,0.977,0.595,0.382,27.4,4,no,yes,0.675
9f31ba9f0e51c3d512a18a501a8ad891,real,464,736,457,279,112.4,11.2,733,0.996,0.621,0.363,38.6,4,no,yes,0.674
d293a73970751898b5d83f5525a15fcc,real,223,425,221,204,119.9,48.8,362,0.852,0.520,0.464,15.8,5,no,yes,0.673
121341bf77241e6ea80847e4d31d80c7,real,525,823,553,270,414.8,9.9,804,0.977,0.672,0.326,167.9,7,no,yes,0.673
7c1984b4c97d8cd541f750030e8b9a32,real,526,837,532,305,128.5,10.2,813,0.971,0.636,0.354,31.5,6,no,yes,0.672
f6660e3ed88b4e1e9abc33ec5f4d3e15,real,420,753,422,331,118.0,27.3,658,0.874,0.560,0.432,20.3,5,no,yes,0.668
100536e843cd4e307e1a2865b28b1f05,real,226,374,224,150,175.0,26.0,346,0.925,0.599,0.390,117.4,4,no,yes,0.668
1e52c0353303549e1dca0578e701c84e,real,381,553,381,172,463.5,13.5,545,0.986,0.689,0.297,375.2,5,no,yes,0.667
277970da4521890c985818775149ac3b,real,341,539,340,199,146.6,13.0,526,0.976,0.631,0.362,71.9,5,no,yes,0.665
477c1e86e80e7b29fbf719d188d3bcca,real,240,417,227,190,289.5,53.7,372,0.892,0.544,0.412,63.1,9,no,yes,0.661
1a213783461da197779f9f6a4f118e13,real,312,560,316,244,363.6,70.1,486,0.868,0.564,0.418,96.8,10,no,yes,0.657
262d332631767cdcf32676f115dd77a4,real,848,1312,864,448,866.6,18.5,1276,0.973,0.659,0.332,315.6,11,no,yes,0.657
40cc4f60f84c512c45d3be7d7371d66e,real,267,465,255,210,342.4,59.4,423,0.910,0.548,0.409,119.8,9,no,yes,0.656
619f582e27e736ebc4c5def47f954535,real,344,535,344,191,291.9,10.8,526,0.983,0.643,0.342,221.3,4,no,yes,0.653
55451b3b64597f7879f03de8b1ecb168,real,322,486,318,168,249.8,8.8,478,0.984,0.654,0.342,123.6,5,no,yes,0.652
d3323e5bfbe4bfb13a42449381103276,real,261,430,260,170,131.6,12.0,420,0.977,0.605,0.370,43.1,5,no,yes,0.652
642580a03c5f043ef1267a0284864419,real,961,1542,995,547,172.2,8.3,1527,0.990,0.645,0.348,49.8,6,no,yes,0.652
33e010c9f85022a8af06b611fb9797e1,real,201,373,203,170,145.1,31.6,304,0.815,0.544,0.434,26.0,6,no,yes,0.649
42d5fcee52e7a624735bc900591bb911,real,563,876,594,282,435.4,9.4,866,0.989,0.678,0.318,349.4,5,no,yes,0.648
0c1ec307db6ae85c32acb0238de5f89a,real,851,1329,866,463,1203.9,27.4,1119,0.842,0.652,0.338,445.7,15,no,yes,0.646
43bd7c837515525a4885bc23011270a4,real,607,962,649,313,1079.9,18.2,934,0.971,0.675,0.312,507.0,12,no,yes,0.643
7a939ca218d3aad3663e752051bf1b66,real,364,582,359,223,290.7,19.1,566,0.973,0.617,0.363,86.0,8,no,yes,0.641
0997bffd43669b8df19cac96b67829ac,real,556,860,545,315,158.2,4.9,852,0.991,0.634,0.347,72.9,5,no,yes,0.638
433c4b1933cfc46d061e079c6efd7bfd,fake,612,633,97,536,817.0,27.8,460,0.727,0.153,0.005,443.5,8,no,yes,0.636
649bd2f4c6e1fd16dbbfdb49472d435a,real,664,1078,665,413,192.1,14.9,1070,0.993,0.617,0.371,86.9,7,no,yes,0.635
f1de32f8fe048c15cab660e0e134078f,real,446,769,445,324,202.0,30.2,674,0.879,0.579,0.408,49.4,7,no,yes,0.633
65e3044fc963c27e11dd4b3194833ea5,real,657,1055,672,383,315.8,9.0,1031,0.977,0.637,0.348,242.5,5,no,yes,0.633
b304db1aca0256140d5730d0086bd0e9,real,284,438,272,166,394.7,6.0,433,0.989,0.621,0.342,243.7,5,no,yes,0.630
ee7b875a133578bafe547abfc1577960,real,619,973,616,357,202.3,8.3,946,0.972,0.633,0.356,90.5,6,no,yes,0.630
bf8c0b44bcbdbdaa808c229c0dad70c3,real,202,350,192,158,254.7,40.3,299,0.854,0.549,0.414,127.5,6,no,yes,0.630
0c0227e839e189ac04cd0d94e4e3e82e,real,490,803,497,306,118.2,8.1,794,0.989,0.619,0.370,24.8,5,no,yes,0.629
6453342b60aee1f6fec5a308003c619f,real,527,832,527,305,220.6,8.0,824,0.990,0.633,0.355,58.0,7,no,yes,0.627
30087d53b7cc67d9e8fda6bde20ca811,real,343,544,332,212,545.0,21.3,524,0.963,0.610,0.357,322.9,8,no,yes,0.626
33d0e97127914c432d210ff02e7412f0,real,312,529,304,225,140.8,18.1,508,0.960,0.575,0.403,32.5,6,no,yes,0.623
18daa38468886b5ce43f7a2d65c9631d,real,285,429,277,152,705.6,12.5,420,0.979,0.646,0.326,373.1,8,no,yes,0.623
d51cc10f35e893ea67d81ae39de6b396,real,631,1004,627,377,528.7,20.4,961,0.957,0.625,0.359,175.3,9,no,yes,0.621
c4c5086a79a6140cbb3013ff6aaea524,real,416,658,418,240,317.4,10.1,651,0.989,0.635,0.356,188.0,6,no,yes,0.621
5e214c7d3b1942cadd885e3869cad21c,real,332,594,427,167,762.5,30.2,540,0.909,0.719,0.253,408.9,7,no,yes,0.620
87da75ee4c0a004f81ac5cd410b33b51,real,401,667,402,265,109.9,11.1,654,0.981,0.603,0.391,23.3,5,no,yes,0.619
3361de2f0638cb992cddadc2a131ad96,real,640,1127,675,452,530.5,46.1,1029,0.913,0.599,0.384,201.8,12,no,yes,0.618
1b9d8107a07e5d37531e9f9a547bac18,real,428,903,441,462,190.0,93.5,801,0.887,0.488,0.492,12.8,8,no,yes,0.617
bcfa8ad205fae3cbfe8c833702b378cf,real,450,735,461,274,598.8,26.1,692,0.941,0.627,0.365,261.3,8,no,yes,0.614
2bd831e552620a70726c44b9f6670d0d,real,284,437,268,169,496.7,14.7,426,0.975,0.613,0.350,337.9,6,no,yes,0.614
bf5bcb5e41e1aafcad049043da2b384a,real,453,851,449,402,141.8,32.3,798,0.939,0.528,0.457,10.6,6,no,yes,0.614
c5b910e327498c5bbdd75b84249a9281,real,135,218,120,98,243.4,17.5,213,0.977,0.550,0.376,212.2,3,no,yes,0.613
5b086a2bf342aad6313740b6b46b0f0c,real,288,507,285,222,172.9,24.1,481,0.949,0.562,0.414,77.2,5,no,yes,0.611
968382b91a89f66bd220cb79fd56f931,fake,343,400,122,278,563.1,58.7,394,0.000,0.305,0.010,455.0,4,no,yes,0.610
3d98bd6497fa655728d64798f76fbde1,real,255,491,251,240,98.6,26.3,463,0.943,0.511,0.479,12.3,5,no,yes,0.610
fad4b66655c162c449aa836ebb72ed93,real,454,809,448,361,116.3,21.5,792,0.979,0.554,0.438,17.8,5,no,yes,0.610
64c5abccc8601c6dca239adfdc8022a5,real,573,979,576,403,149.4,13.6,951,0.971,0.588,0.391,29.2,7,no,yes,0.608
8733936057e1c6f9225dc042034bb7bb,real,522,868,521,347,113.6,10.1,848,0.977,0.600,0.391,20.6,5,no,yes,0.608
45e4836b9d3bb3abc669190a201cdd1a,real,795,1295,797,498,252.6,15.9,1263,0.975,0.615,0.378,43.0,10,no,yes,0.608
4316092b757103b683ddd88855c15412,real,121,252,142,110,437.9,25.7,233,0.925,0.563,0.377,212.6,7,no,yes,0.605
1242a050a99a78057f9e44ea72d0455c,real,323,532,315,217,1175.1,66.3,470,0.883,0.592,0.376,721.6,16,no,yes,0.605
0f92ff8bbe5445653e3d7d0441d89f29,real,114,198,100,98,192.4,25.4,185,0.934,0.505,0.414,103.2,5,no,yes,0.604
aea674830c08ab46bf1cce6784303242,real,584,931,584,347,270.7,9.4,914,0.982,0.627,0.366,191.9,5,no,yes,0.602
7d19efac9889b0cc979b86d053168735,real,215,383,206,177,174.5,28.3,359,0.937,0.538,0.431,86.9,5,no,yes,0.601
b172e5af7c2c9b5af7183a3b63319544,real,798,1324,805,519,359.2,26.8,1242,0.938,0.608,0.387,241.4,5,no,yes,0.600
2733f2d07ec081ac3104aad188d8ca26,real,889,1427,900,527,253.6,7.1,1416,0.992,0.631,0.364,101.7,6,no,yes,0.599
74ece92fe2434f40e56bcc46bba28c3d,real,343,555,333,222,111.8,6.9,538,0.969,0.600,0.382,22.4,5,no,yes,0.598
270b634e3ff22997cc2bf970e496dc66,real,301,478,291,187,417.7,8.7,470,0.983,0.609,0.362,147.0,6,no,yes,0.597
6644222b480bf43813a9c2c3f4ef64c0,real,422,683,410,273,530.8,22.8,650,0.952,0.600,0.373,234.6,11,no,yes,0.596
ffd06d8a79b15164dfc6098c8f012277,real,290,365,296,69,938.2,72.8,190,0.521,0.811,0.186,560.4,7,no,yes,0.596
970882bb31a47debc91baa4cecb3c8a9,real,395,604,392,212,1179.5,31.6,570,0.944,0.649,0.339,378.4,13,no,yes,0.595
4bed2570dc26c5c961080d073d1cdf53,real,854,1059,891,168,786.6,18.4,1033,0.975,0.841,0.155,384.9,7,no,yes,0.594
f0607d180085032823d2f6a60d42e5fe,real,375,620,369,251,443.8,24.5,587,0.947,0.595,0.384,167.2,10,no,yes,0.587
082911dd7f23bab98e6427e6ffe7ba63,real,663,1105,661,444,230.0,13.3,1084,0.981,0.598,0.386,123.8,6,no,yes,0.587
2a83bcdb72ccfd83e7fe53444c81d381,real,785,1315,788,527,193.9,11.7,1311,0.997,0.599,0.387,148.3,3,no,yes,0.586
a229dcad53b19922571889a330672fc4,real,218,357,210,147,245.1,10.4,350,0.980,0.588,0.378,174.9,4,no,yes,0.586
08d6e576ac06659b063eb3d8884dfb71,real,365,653,427,226,589.0,16.7,635,0.972,0.654,0.331,458.1,6,no,yes,0.583
240d142db521d3a0c23b9abe67124783,real,313,504,300,204,324.9,10.4,490,0.972,0.595,0.371,177.0,4,no,yes,0.583
dc202bd7b72013da6e077af70337274e,real,238,463,233,230,99.6,24.1,439,0.948,0.503,0.479,25.1,5,no,yes,0.583
b48c81395145d0af722bbc0645d053c8,real,546,911,544,367,287.6,16.6,887,0.974,0.597,0.387,66.7,8,no,yes,0.583
9deb7ebaa586f8cb3800edca9a9ebd67,real,719,1229,718,511,102.4,9.6,1205,0.980,0.584,0.406,40.5,5,no,yes,0.582
996dac83a5a58e1cd8654306d63f97a1,real,923,1424,985,439,574.0,10.3,1413,0.992,0.692,0.300,399.6,5,no,yes,0.582
b3bc431f3912823a770138212b034a66,real,272,450,265,185,173.3,11.0,445,0.989,0.589,0.391,127.0,3,no,yes,0.581
fb5de84585d68fbeffdbbc785a71dfe3,real,392,658,388,270,318.9,19.6,634,0.964,0.590,0.391,166.6,8,no,yes,0.580
43f60660f10d933948c88418c9e6323f,real,454,754,466,288,495.3,15.7,729,0.967,0.618,0.369,351.1,6,no,yes,0.580
4e83814af0b38f87e5aa668bc04312cb,real,763,1263,778,485,387.2,13.2,1250,0.990,0.616,0.377,304.3,5,no,yes,0.580
3555cafac8dc42453968704f8d224087,real,534,904,546,358,104.5,5.7,900,0.996,0.604,0.387,48.8,4,no,yes,0.580
0c9e3b0bc5614fdc4066b0cd6b79096e,real,161,260,141,119,746.4,90.3,228,0.877,0.542,0.388,331.0,8,no,yes,0.580
03bb2c61188804b0ed47efb4b2b3fbd7,real,493,890,536,354,184.3,11.3,879,0.988,0.602,0.391,99.5,5,no,yes,0.579
c92af33819c41cec4b5165c5362e1af9,real,691,1141,702,439,339.4,12.2,1121,0.982,0.615,0.379,248.4,5,no,yes,0.579
f0bc51f8ff70f6d8cb4b3723289bd8e5,fake,706,752,382,370,1650.2,35.2,411,0.548,0.508,0.005,1163.8,14,no,yes,0.577
3631b1b303bf149d9e18b444965cab1d,real,530,903,520,383,284.5,24.8,855,0.948,0.576,0.405,63.1,10,no,yes,0.576
907393640ca34db505d6fefd72f29e3d,fake,307,343,294,49,1382.5,91.1,148,0.353,0.857,0.015,1126.8,10,no,yes,0.576
d8e6587416398bbbeda4a13a43964963,real,690,1028,682,346,410.4,9.2,1024,0.996,0.663,0.325,358.9,4,no,yes,0.573
dc3eafb2d7d7de87ba56a943e4dac0a0,real,466,756,453,303,574.5,14.2,742,0.981,0.599,0.377,215.1,8,no,yes,0.571
55463897f27c6e27c7c8e6b355d97311,real,447,742,446,296,266.1,9.6,732,0.987,0.601,0.384,105.2,6,no,yes,0.568
384373e9f3e6c486ac15b822632ebc62,real,371,619,368,251,207.4,11.4,609,0.984,0.595,0.394,122.7,5,no,yes,0.567
96645c77fdc0ab2d01afd4cfe4362c3a,real,590,970,589,381,623.6,19.1,939,0.968,0.607,0.382,359.3,9,no,yes,0.566
58ff31bddf5bf8c3c7a2fabd2e3a5982,real,665,1138,662,476,284.9,21.7,1092,0.960,0.582,0.407,51.5,10,no,yes,0.563
8047e553b6682e0bae6f11031e336bcf,real,407,686,400,286,286.7,15.9,669,0.975,0.583,0.397,147.4,7,no,yes,0.562
e0510fbccb6f1e45919fbfd78895c710,real,278,479,278,201,148.3,12.4,463,0.967,0.580,0.411,72.8,5,no,yes,0.561
d1d899fe8e05a36cdd11d66245f65e77,real,439,758,451,307,174.3,9.2,749,0.988,0.595,0.397,38.0,7,no,yes,0.559
bcbea4ea9cfe51d4ac37516a23696ba5,real,209,287,210,77,741.0,12.6,279,0.972,0.732,0.261,354.8,6,no,yes,0.559
93c7010255d0adc883cc8b8215c8a4d3,real,289,493,276,217,151.6,12.9,489,0.992,0.560,0.414,83.6,4,no,yes,0.558
ad9d38e751a4b721a491a755ff502809,real,308,574,302,272,291.5,37.2,539,0.939,0.526,0.436,186.8,6,no,yes,0.556
f030f59e7579dcda946ab8a3bd2733c6,real,259,499,255,244,177.7,35.9,468,0.938,0.511,0.473,49.6,6,no,yes,0.556
